"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"15",5.33136094674556,5.52941176470588,1.65577889447236,5.35427135678392,5.34591194968553,5.27358490566038,1.65577889447236,5.64321608040201,NA,5.34591194968553,5.34591194968553,NA,NA,NA
"16",5.62130177514793,2.10924369747899,2.10552763819095,5.46984924623116,NA,NA,5.35427135678392,NA,5.35427135678392,5.34591194968553,5.77358490566038,NA,5.2964824120603,NA
"17",5.33136094674556,5.52941176470588,5.2964824120603,5.35427135678392,NA,1.65723270440252,5.64321608040201,1.65577889447236,NA,NA,NA,NA,NA,NA
"18",5.33136094674556,3.00840336134454,1.65577889447236,5.35427135678392,NA,5.34591194968553,NA,1.65577889447236,NA,NA,5.20125786163522,NA,1.65577889447236,NA
"19",5.33136094674556,3.35294117647059,5.35427135678392,5.35427135678392,NA,5.27358490566038,5.35427135678392,1.65577889447236,1.65577889447236,2.10691823899371,5.34591194968553,NA,5.35427135678392,NA
"20",5.33136094674556,2.10924369747899,5.35427135678392,5.35427135678392,NA,NA,1.65577889447236,5.2964824120603,4.25628140703518,5.34591194968553,3.0251572327044,NA,5.35427135678392,NA
"21",5.62130177514793,6.36974789915966,2.10552763819095,5.64321608040201,NA,5.27358490566038,NA,NA,2.87939698492462,5.27358490566038,5.34591194968553,NA,1.65577889447236,NA
"22",5.33136094674556,2.10924369747899,5.46984924623116,5.46984924623116,NA,5.27358490566038,5.64321608040201,1.65577889447236,NA,5.34591194968553,NA,NA,5.46984924623116,NA
"23",5.53550295857988,5.71428571428571,5.35427135678392,5.35427135678392,NA,5.41823899371069,5.64321608040201,NA,2.10552763819095,NA,5.34591194968553,5.62130177514793,5.46984924623116,NA
"24",5.33136094674556,3.35294117647059,1.65577889447236,5.35427135678392,NA,5.34591194968553,5.64321608040201,NA,1.65577889447236,5.20125786163522,5.20125786163522,NA,5.35427135678392,NA
"25",5.33136094674556,5.71428571428571,1.65577889447236,5.64321608040201,NA,NA,NA,5.2964824120603,NA,NA,5.77358490566038,NA,4.25628140703518,NA
"26",5.33136094674556,5.52941176470588,5.35427135678392,5.35427135678392,NA,5.20125786163522,NA,5.35427135678392,NA,1.65723270440252,5.27358490566038,NA,1.65577889447236,NA
"27",5.53550295857988,3.00840336134454,5.35427135678392,5.35427135678392,5.34591194968553,5.34591194968553,5.35427135678392,5.35427135678392,NA,5.27358490566038,5.27358490566038,NA,5.35427135678392,NA
"28",NA,6.36974789915966,1.65577889447236,3.01507537688442,NA,1.65723270440252,2.10552763819095,5.35427135678392,5.35427135678392,NA,5.34591194968553,NA,5.23869346733668,NA
"29",5.62130177514793,2.10924369747899,5.2964824120603,5.35427135678392,NA,5.41823899371069,NA,5.64321608040201,1.65577889447236,5.20125786163522,5.34591194968553,NA,5.64321608040201,NA
"30",5.33136094674556,NA,5.35427135678392,5.35427135678392,NA,NA,NA,NA,NA,5.20125786163522,5.20125786163522,NA,NA,NA
"31",5.75147928994083,2.10924369747899,1.65577889447236,5.35427135678392,NA,1.65723270440252,5.64321608040201,1.65577889447236,1.65577889447236,1.65723270440252,5.27358490566038,NA,1.65577889447236,NA
"32",5.33136094674556,2.10924369747899,5.35427135678392,5.35427135678392,NA,5.41823899371069,5.35427135678392,1.65577889447236,NA,NA,2.88679245283019,NA,NA,NA
"33",5.62130177514793,5.6218487394958,1.65577889447236,5.35427135678392,NA,5.34591194968553,NA,5.35427135678392,5.58793969849246,2.88679245283019,5.34591194968553,NA,5.35427135678392,3.48520710059172
"34",5.33136094674556,2.10924369747899,5.35427135678392,5.35427135678392,NA,NA,NA,5.35427135678392,1.82914572864322,NA,5.27358490566038,NA,5.2964824120603,6.20118343195266
"35",5.33136094674556,2.10924369747899,1.65577889447236,5.35427135678392,NA,5.34591194968553,NA,1.65577889447236,NA,NA,5.34591194968553,NA,2.10552763819095,NA
"36",5.33136094674556,5.71428571428571,1.65577889447236,5.35427135678392,NA,5.34591194968553,NA,5.35427135678392,NA,5.34591194968553,5.34591194968553,NA,3.3894472361809,NA
"37",5.46745562130178,5.6218487394958,2.10552763819095,5.35427135678392,NA,2.88679245283019,NA,1.65577889447236,4.94974874371859,NA,5.41823899371069,NA,5.2964824120603,NA
"38",5.62130177514793,5.6218487394958,5.35427135678392,5.46984924623116,NA,NA,5.35427135678392,5.2964824120603,NA,5.34591194968553,5.34591194968553,NA,4.31407035175879,NA
